Species;Species_Phylo;Family;Trait;Categorie;Tetra_type;Synthetic_natural;Value_diplo;Value_tetra;Ratio;Study_ID;Reference
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Bolting_time;Phenological;Neo;Synthetic;25;47;1,88;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Growth_rate;Vegetative;Neo;Synthetic;2,4;2,25;0,9375;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Leaf_area;Vegetative;Neo;Synthetic;72;92;1,277777778;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Epidermis_cell_size;Cellular - size;Neo;Synthetic;4000;6100;1,525;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Guard_cell_size;Cellular - size;Neo;Synthetic;90;170;1,888888889;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Cell_number_per_leaf;Cellular - number;Neo;Synthetic;2,7;2,3;0,851851852;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Stem_length;Vegetative;Neo;Synthetic;43;60;1,395348837;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Dry_mass;Vegetative;Neo;Synthetic;55;95;1,727272727;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Stem_Diameter;Vegetative;Neo;Synthetic;1,5;1,9;1,266666667;1;Corneillie_et_al_2019_Plant_phytol
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Plant_height;Vegetative;Neo;Natural;30,4;35,9;1,180921053;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Rosette_leaf_number;Vegetative;Neo;Natural;17,4;19,9;1,143678161;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Bolting_time;Phenological;Neo;Natural;27,8;36,1;1,298561151;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Flowering_time;Phenological;Neo;Natural;36,1;47,3;1,310249307;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Main_stem_thickness;Vegetative;Neo;Natural;1,31;1,58;1,20610687;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Cauline_branches;Vegetative;Neo;Natural;4,7;4,2;0,893617021;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Fertile_siliques_main_stem;Fitness;Neo;Natural;35;41;1,171428571;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Fertile_siliques_total;Fitness;Neo;Natural;173,1;116,7;0,674176776;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Silique_length;Vegetative;Neo;Natural;14,8;14,7;0,993243243;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Seeds_per_siliques;Fitness;Neo;Natural;56,6;45;0,795053004;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Epidermis_cell_size;Cellular - size;Neo;Natural;3000;5250;1,75;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Pallisade_cell_size;Cellular - size;Neo;Natural;1350;1500;1,111111111;2;Li_et_al_2012_Planta
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Sepal_area;Floral;Neo;Synthetic;1;1,51;1,51;3;Robinson_et_al_2018_Plant_Cell
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Epidermis_cell_area;Cellular - size;Neo;Synthetic;1;1,76;1,76;3;Robinson_et_al_2018_Plant_Cell
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Epidermis_cell_density;Cellular - number;Neo;Synthetic;1350;1091;0,808148148;3;Robinson_et_al_2018_Plant_Cell
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicaceae;Epidermis_cell_size;Cellular - size;Neo;Synthetic;150;250;1,666666667;4;Del_Pozzo_et_al_2014_Plant_Cell_Environment
Atriplex confertifolia;Atriplex_patula;Amaranthaceae;Mesophyll_cell_density;Cellular - number;Est;Natural;3;2,4;0,8;5;Warner_Edwards_1989_Plant_physiology
Atriplex confertifolia;Atriplex_patula;Amaranthaceae;Bundle_sheath_cell_density;Cellular - number;Est;Natural;1;0,5;0,5;5;Warner_Edwards_1989_Plant_physiology
Camelia sinensis;Camellia_sinensis;Theaceae;Stomata_density;Cellular - number;Neo;Synthetic;136;189;1,389705882;6;Ng'etich_Wachira_Journal_Horticulture_Science_Biotechnology_2002
Camelia sinensis;Camellia_sinensis;Theaceae;Epidermis_cell_density;Cellular - number;Neo;Synthetic;2849;1579;0,554229554;6;Ng'etich_Wachira_Journal_Horticulture_Science_Biotechnology_2002
Camelia sinensis;Camellia_sinensis;Theaceae;Gard_Cell_length;Cellular - size;Neo;Synthetic;95;181;1,905263158;6;Ng'etich_Wachira_Journal_Horticulture_Science_Biotechnology_2002
